instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_check,windspeed_binned,hum_binned,temp_combined,temp_binned,hour_bin,rush_hour,prev_hour_rentals,temp_diff_perceived,weather_intensity,temp_prev,hum_prev,windspeed_prev,weather_change_indicator,temp_median,daily_rentals,Weather Discomfort Index
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,36,Low Wind,High Humidity,0.38695,Medium Temp,Morning,0,14.0,0.013899999999999968,0.08868500000000001,0.32,0.76,0.0,1,0.9727622705564187,166.0,0.5074
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,56,Low Wind,High Humidity,0.34665,Medium Temp,Morning,0,36.0,-0.0267,0.09068000000000001,0.38,0.76,0.2537,0,0.9727622705564187,222.0,0.6381000000000001
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,84,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Afternoon,0,56.0,0.004200000000000037,0.09468000000000001,0.36,0.81,0.2836,0,0.9727622705564187,306.0,0.5199333333333334
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,94,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Afternoon,0,84.0,-0.005500000000000005,0.19385000000000002,0.42,0.77,0.2836,0,0.9727622705564187,400.0,0.46721739130434775
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,106,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Afternoon,0,94.0,-0.005500000000000005,0.19236,0.46,0.72,0.2985,0,0.9727622705564187,506.0,0.443895652173913
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,110,Low Wind,High Humidity,0.4397,Medium Temp,Afternoon,0,106.0,-0.0005999999999999894,0.19485000000000002,0.46,0.72,0.2836,0,0.9727622705564187,616.0,0.522375
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,93,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Afternoon,0,110.0,0.004200000000000037,0.19585000000000002,0.44,0.77,0.2985,0,0.9727622705564187,709.0,0.5827857142857142
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,67,Low Wind,High Humidity,0.4397,Medium Temp,Afternoon,1,93.0,-0.0005999999999999894,0.19836,0.42,0.82,0.2985,0,0.9727622705564187,776.0,0.5285272727272727
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,35,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Evening,0,67.0,0.004200000000000037,0.296055,0.44,0.82,0.2836,0,0.9727622705564187,811.0,0.5315619047619048
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,37,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Evening,0,35.0,0.004200000000000037,0.296055,0.42,0.88,0.2537,0,0.9727622705564187,848.0,0.5315619047619048
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,36,Low Wind,High Humidity,0.40455,Medium Temp,Evening,0,37.0,0.009099999999999997,0.19237000000000004,0.42,0.88,0.2537,0,0.9727622705564187,884.0,0.5517974999999999
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,34,Low Wind,High Humidity,0.40455,Medium Temp,Evening,0,36.0,0.009099999999999997,0.18640000000000004,0.4,0.87,0.2537,0,0.9727622705564187,918.0,0.42195
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,28,Low Wind,High Humidity,0.40455,Medium Temp,Evening,0,34.0,0.009099999999999997,0.19639,0.4,0.87,0.194,0,0.9727622705564187,946.0,0.5261649999999999
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,39,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Evening,0,28.0,-0.005500000000000005,0.20985000000000004,0.4,0.94,0.2239,0,0.9727622705564187,985.0,0.5710434782608694
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,17,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Early Morning,0,39.0,-0.005500000000000005,0.20985000000000004,0.46,0.88,0.2985,0,0.9727622705564187,986.0,0.5710434782608694
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,17,Low Wind,High Humidity,0.4397,Medium Temp,Early Morning,0,17.0,-0.0005999999999999894,0.20737,0.46,0.88,0.2985,0,0.9727622705564187,963.0,0.5419954545454545
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,9,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Early Morning,0,17.0,0.004200000000000037,0.21236,0.44,0.94,0.2537,0,0.9727622705564187,940.0,0.6752380952380953
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,6,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Early Morning,0,9.0,-0.005500000000000005,0.2054,0.42,1.0,0.2836,0,0.9727622705564187,933.0,0.39643478260869564
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,3,Low Wind,High Humidity,0.45725000000000005,Medium Temp,Early Morning,0,6.0,-0.005500000000000005,0.2054,0.46,0.94,0.194,0,0.9727622705564187,935.0,0.39643478260869564
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,Low Wind,High Humidity,0.42210000000000003,Medium Temp,Morning,0,3.0,0.004200000000000037,0.286275,0.46,0.94,0.194,1,0.9727622705564187,936.0,0.54725
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,1,Low Wind,High Humidity,0.40455,Medium Temp,Morning,0,2.0,0.009099999999999997,0.17540000000000003,0.42,0.77,0.2985,1,0.9727622705564187,935.0,0.36860000000000004
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8,Low Wind,High Humidity,0.40455,Medium Temp,Morning,1,1.0,0.009099999999999997,0.26008499999999996,0.4,0.76,0.194,0,0.9727622705564187,940.0,0.3974224999999999
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,20,Low Wind,High Humidity,0.38695,Medium Temp,Morning,0,8.0,0.013899999999999968,0.17439000000000002,0.4,0.71,0.2239,0,0.9727622705564187,952.0,0.4477999999999999
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,53,Low Wind,High Humidity,0.35424999999999995,Medium Temp,Morning,0,20.0,-0.01150000000000001,0.17539000000000002,0.38,0.76,0.2239,0,0.9727622705564187,991.0,0.503775
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,70,Low Wind,High Humidity,0.34665,Medium Temp,Morning,0,53.0,-0.0267,0.16837,0.36,0.81,0.2239,1,0.9727622705564187,1025.0,0.5003527777777778
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,93,Low Wind,Medium Humidity,0.34665,Medium Temp,Afternoon,0,70.0,-0.0267,0.16785,0.36,0.71,0.2537,0,0.9727622705564187,1062.0,0.54725
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,75,Low Wind,Medium Humidity,0.35424999999999995,Medium Temp,Afternoon,0,93.0,-0.01150000000000001,0.15143,0.36,0.66,0.2985,1,0.9727622705564187,1053.0,0.2462166666666667
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,59,Low Wind,High Humidity,0.35424999999999995,Medium Temp,Afternoon,0,75.0,-0.01150000000000001,0.2511,0.36,0.66,0.1343,0,0.9727622705564187,1018.0,0.4095555555555556
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,74,Low Wind,High Humidity,0.33665,Medium Temp,Afternoon,0,59.0,-0.006700000000000039,0.24813000000000002,0.36,0.76,0.194,0,0.9727622705564187,986.0,0.3911823529411765
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,76,Low Wind,High Humidity,0.33665,Medium Temp,Afternoon,0,74.0,-0.006700000000000039,0.23313000000000003,0.34,0.81,0.1642,1,0.9727622705564187,952.0,0.34288823529411766
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,65,Low Wind,Medium Humidity,0.33665,Medium Temp,Afternoon,1,76.0,-0.006700000000000039,0.0722,0.34,0.71,0.1642,1,0.9727622705564187,924.0,0.325235294117647
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,53,Low Wind,Medium Humidity,0.34665,Medium Temp,Evening,0,65.0,-0.0267,0.15084,0.34,0.57,0.194,1,0.9727622705564187,910.0,0.41962222222222234
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,30,Medium Wind,Medium Humidity,0.30395,Low Temp,Evening,0,53.0,-0.03210000000000002,0.07539000000000001,0.36,0.46,0.3284,1,0.9727622705564187,905.0,0.5877374999999999
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,22,Medium Wind,Medium Humidity,0.28635,Low Temp,Evening,0,30.0,-0.02729999999999999,0.06741,0.32,0.42,0.4478,0,0.9727622705564187,890.0,0.4656600000000001
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,31,Low Wind,Medium Humidity,0.24365,Low Temp,Evening,0,22.0,-0.03270000000000001,0.06442,0.3,0.39,0.3582,0,0.9727622705564187,885.0,0.5557538461538462
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9,Low Wind,Medium Humidity,0.22605,Low Temp,Evening,0,31.0,-0.02789999999999998,0.060925,0.26,0.44,0.3284,0,0.9727622705564187,860.0,0.5472499999999999
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,8,Low Wind,Medium Humidity,0.22365000000000002,Low Temp,Evening,0,9.0,0.007300000000000001,0.05371,0.24,0.44,0.2985,1,0.9727622705564187,840.0,0.3507909090909091
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,5,Medium Wind,Medium Humidity,0.20850000000000002,Low Temp,Early Morning,0,8.0,-0.022999999999999993,0.06191000000000001,0.22,0.47,0.1642,1,0.9727622705564187,806.0,0.7164
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2,Medium Wind,Medium Humidity,0.18335,Low Temp,Early Morning,0,5.0,-0.033300000000000024,0.062895,0.22,0.44,0.3582,0,0.9727622705564187,791.0,0.91938
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,1,Medium Wind,Medium Humidity,0.1482,Low Temp,Early Morning,0,2.0,-0.02360000000000001,0.058905,0.2,0.44,0.4179,0,0.9727622705564187,775.0,1.1400437499999998
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,Low Wind,Medium Humidity,0.1482,Low Temp,Early Morning,0,1.0,-0.02360000000000001,0.053680000000000005,0.16,0.47,0.3881,1,0.9727622705564187,769.0,0.8330749999999999
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,30,Medium Wind,Medium Humidity,0.12305,Low Temp,Morning,0,3.0,-0.03390000000000001,0.05840500000000001,0.16,0.47,0.2836,1,0.9727622705564187,793.0,1.3860714285714284
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,64,Low Wind,Medium Humidity,0.1382,Low Temp,Morning,0,30.0,-0.00360000000000002,0.04870000000000001,0.14,0.5,0.3881,1,0.9727622705564187,854.0,0.6928571428571428
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,154,Low Wind,Medium Humidity,0.1306,Low Temp,Morning,1,64.0,-0.01880000000000001,0.053180000000000005,0.14,0.5,0.194,0,0.9727622705564187,1006.0,1.012857142857143
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,88,Medium Wind,Medium Humidity,0.1482,Low Temp,Morning,0,154.0,-0.02360000000000001,0.05690500000000001,0.14,0.5,0.2836,1,0.9727622705564187,1093.0,1.04301875
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,44,Low Wind,Medium Humidity,0.17335,Low Temp,Morning,0,88.0,-0.013300000000000006,0.052185,0.16,0.43,0.3881,1,0.9727622705564187,1129.0,0.606061111111111
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,51,Low Wind,Medium Humidity,0.19090000000000001,Low Temp,Morning,0,44.0,-0.01820000000000002,0.05642000000000001,0.18,0.43,0.2537,0,0.9727622705564187,1160.0,0.6567999999999999
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,61,Low Wind,Medium Humidity,0.21605000000000002,Low Temp,Afternoon,0,51.0,-0.00789999999999999,0.054425,0.2,0.4,0.3284,0,0.9727622705564187,1168.0,0.47488636363636355
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,61,Low Wind,Medium Humidity,0.22605,Low Temp,Afternoon,0,61.0,-0.02789999999999998,0.05567999999999999,0.22,0.35,0.2985,0,0.9727622705564187,1159.0,0.41358333333333336
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,77,Low Wind,Low Humidity,0.2512,Low Temp,Afternoon,0,61.0,-0.017600000000000005,0.05518000000000001,0.24,0.35,0.2836,0,0.9727622705564187,1143.0,0.3272307692307692
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,72,Low Wind,Low Humidity,0.2512,Low Temp,Afternoon,0,77.0,-0.017600000000000005,0.053685000000000004,0.26,0.3,0.2836,0,0.9727622705564187,1140.0,0.2927307692307692
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,76,Low Wind,Low Humidity,0.2512,Low Temp,Afternoon,0,72.0,-0.017600000000000005,0.053685000000000004,0.26,0.3,0.2537,0,0.9727622705564187,1157.0,0.2927307692307692
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,157,Low Wind,Low Humidity,0.23365,Low Temp,Afternoon,1,76.0,-0.012699999999999989,0.050195000000000004,0.26,0.3,0.2537,0,0.9727622705564187,1240.0,0.279875
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,157,Low Wind,Low Humidity,0.2488,Low Temp,Evening,0,157.0,0.017600000000000005,0.045225,0.24,0.3,0.2239,1,0.9727622705564187,1321.0,0.13933333333333334
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,110,Low Wind,Medium Humidity,0.2288,Low Temp,Evening,0,157.0,0.057599999999999985,0.043500000000000004,0.24,0.32,0.1045,1,0.9727622705564187,1366.0,0.0
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,52,Low Wind,Medium Humidity,0.21365,Low Temp,Evening,0,110.0,0.02729999999999999,0.048725000000000004,0.2,0.47,0.0,1,0.9727622705564187,1365.0,0.24557499999999996
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,52,Low Wind,Medium Humidity,0.1885,Low Temp,Evening,0,52.0,0.017000000000000015,0.056715,0.2,0.47,0.1045,1,0.9727622705564187,1387.0,0.4775111111111111
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,20,Low Wind,High Humidity,0.14575,Low Temp,Evening,0,52.0,0.011499999999999982,0.055215,0.18,0.64,0.1343,0,0.9727622705564187,1385.0,0.6619071428571428
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,12,Low Wind,Medium Humidity,0.19605,Low Temp,Evening,0,20.0,0.03210000000000002,0.050725,0.14,0.69,0.1343,1,0.9727622705564187,1366.0,0.3193055555555556
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,5,Low Wind,Medium Humidity,0.1709,Low Temp,Early Morning,0,12.0,0.021799999999999986,0.048725000000000004,0.18,0.55,0.1045,0,0.9727622705564187,1362.0,0.35921875000000003
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2,Low Wind,Medium Humidity,0.1709,Low Temp,Early Morning,0,5.0,0.021799999999999986,0.050725,0.16,0.55,0.1045,0,0.9727622705564187,1356.0,0.38534375
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1,Low Wind,Medium Humidity,0.14575,Low Temp,Early Morning,0,2.0,0.011499999999999982,0.052215,0.16,0.59,0.1045,0,0.9727622705564187,1352.0,0.6043499999999999
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2,Low Wind,Medium Humidity,0.1609,Low Temp,Early Morning,0,1.0,0.041799999999999976,0.04998,0.14,0.63,0.1343,0,0.9727622705564187,1352.0,0.40319999999999995
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,Low Wind,High Humidity,0.13574999999999998,Low Temp,Early Morning,0,2.0,0.0315,0.051225,0.14,0.63,0.0896,0,0.9727622705564187,1355.0,0.5921666666666666
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,36,Low Wind,High Humidity,0.13574999999999998,Low Temp,Morning,0,4.0,0.0315,0.054225,0.12,0.68,0.1045,0,0.9727622705564187,1388.0,0.6444166666666666
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,94,Low Wind,High Humidity,0.13574999999999998,Low Temp,Morning,0,36.0,0.0315,0.055715,0.12,0.74,0.1045,0,0.9727622705564187,1452.0,0.8281833333333334
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,179,Low Wind,High Humidity,0.14575,Low Temp,Morning,1,94.0,0.011499999999999982,0.05671,0.12,0.74,0.1343,0,0.9727622705564187,1567.0,0.8092714285714284
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,100,Low Wind,Medium Humidity,0.15575,Low Temp,Morning,0,179.0,-0.008500000000000008,0.059195,0.14,0.69,0.1642,0,0.9727622705564187,1513.0,0.8956000000000001
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,42,Low Wind,High Humidity,0.1482,Low Temp,Morning,0,100.0,-0.02360000000000001,0.13384,0.16,0.64,0.2239,1,0.9727622705564187,1467.0,1.4162249999999998
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,57,Low Wind,Medium Humidity,0.21605000000000002,Low Temp,Morning,0,42.0,-0.00789999999999999,0.062425,0.16,0.69,0.3284,1,0.9727622705564187,1480.0,0.6919772727272727
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,78,Low Wind,Medium Humidity,0.22365000000000002,Low Temp,Afternoon,0,57.0,0.007300000000000001,0.05571,0.22,0.51,0.2985,1,0.9727622705564187,1507.0,0.3806454545454546
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,97,Low Wind,Medium Humidity,0.23365,Low Temp,Afternoon,0,78.0,-0.012699999999999989,0.061700000000000005,0.22,0.51,0.1642,0,0.9727622705564187,1543.0,0.4526666666666667
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,63,Low Wind,Medium Humidity,0.25880000000000003,Low Temp,Afternoon,0,97.0,-0.0024000000000000132,0.063195,0.24,0.56,0.194,0,0.9727622705564187,1545.0,0.4478
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,65,Low Wind,Medium Humidity,0.27635,Low Temp,Afternoon,0,63.0,-0.007300000000000029,0.06668500000000001,0.26,0.52,0.2239,0,0.9727622705564187,1533.0,0.4711571428571428
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,83,Low Wind,Medium Humidity,0.29395,Low Temp,Afternoon,0,65.0,-0.0121,0.067185,0.28,0.52,0.2537,0,0.9727622705564187,1544.0,0.41437666666666667
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,212,Low Wind,Medium Humidity,0.27635,Low Temp,Afternoon,1,83.0,-0.007300000000000029,0.063195,0.3,0.49,0.2537,0,0.9727622705564187,1680.0,0.38382857142857135
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,182,Low Wind,Medium Humidity,0.25880000000000003,Low Temp,Evening,0,212.0,-0.0024000000000000132,0.0597,0.28,0.48,0.2239,0,0.9727622705564187,1705.0,0.3581538461538461
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,112,Low Wind,Medium Humidity,0.2488,Low Temp,Evening,0,182.0,0.017600000000000005,0.053225,0.26,0.48,0.194,0,0.9727622705564187,1660.0,0.209
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,54,Low Wind,Medium Humidity,0.2488,Low Temp,Evening,0,112.0,0.017600000000000005,0.053225,0.24,0.48,0.1045,0,0.9727622705564187,1604.0,0.209
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,48,Low Wind,Medium Humidity,0.24635,Low Temp,Evening,0,54.0,0.0527,0.054000000000000006,0.24,0.48,0.1045,1,0.9727622705564187,1600.0,0.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,35,Low Wind,Medium Humidity,0.2388,Low Temp,Evening,0,48.0,0.037599999999999995,0.058480000000000004,0.22,0.64,0.0,0,0.9727622705564187,1583.0,0.26065454545454547
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,11,Low Wind,High Humidity,0.21365,Low Temp,Evening,0,35.0,0.02729999999999999,0.05898,0.22,0.64,0.0896,0,0.9727622705564187,1574.0,0.30911999999999995
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,6,Low Wind,Medium Humidity,0.2288,Low Temp,Early Morning,0,11.0,0.057599999999999985,0.052000000000000005,0.2,0.69,0.0896,0,0.9727622705564187,1568.0,0.0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6,Low Wind,High Humidity,0.1785,Low Temp,Early Morning,0,6.0,0.037000000000000005,0.057479999999999996,0.2,0.64,0.0,0,0.9727622705564187,1569.0,0.4144
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2,Low Wind,High Humidity,0.1785,Low Temp,Early Morning,0,6.0,0.037000000000000005,0.057479999999999996,0.16,0.74,0.0896,0,0.9727622705564187,1569.0,0.4144
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2,Low Wind,Medium Humidity,0.23365,Low Temp,Early Morning,0,2.0,-0.012699999999999989,0.059195,0.16,0.74,0.0896,1,0.9727622705564187,1570.0,0.4478
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3,Low Wind,Medium Humidity,0.22365000000000002,Low Temp,Early Morning,0,2.0,0.007300000000000001,0.05371,0.24,0.48,0.2239,0,0.9727622705564187,1571.0,0.3507909090909091
